Rank,Release Group,Worldwide,Domestic,%,Foreign,%
269,Fellini of the Spirits,"$2,586",-,-,"$2,586",100%
270,Mother to Earth,"$2,250","$2,250",100%,-,-
271,A Glitch in the Matrix,"$2,238","$2,238",100%,-,-
272,Eden,"$1,755",-,-,"$1,755",100%
273,Adopt a Daddy 2021 Re-release,"$1,533",-,-,"$1,533",100%
274,Stela,"$1,229",-,-,"$1,229",100%
275,Elbow Grease,$917,$917,100%,-,-
276,Automation,$824,-,-,$824,100%
277,The Dig,$693,-,-,$693,100%
278,Run with the Hunted,$682,-,-,$682,100%
279,Money Plane,$618,-,-,$618,100%
280,First Signal,$580,$580,100%,-,-
281,Life On Deniston Plateau,$509,-,-,$509,100%
282,Békeidö,$445,-,-,$445,100%
283,American Desert,$244,-,-,$244,100%
284,Woman on the Beach 2021 Re-release,$160,-,-,$160,100%
285,Distorted 2021 Re-release,$152,-,-,$152,100%
286,Billie Eilish: The World's a Little Blurry,$139,-,-,$139,100%
